"id";"id_servico";"id_tipo_servico";"id_status";"quantidade";"valor";"valor_fornecedor";"excluido";"data_atualizacao"
"55087";"23476";"6";"2";"1";"95,00";"32,00";\N;\N
"55088";"23476";"13";"2";"1";"110,00";"35,00";\N;"2024-07-25 19:42:33"
"55090";"23476";"9";"2";"1";"40,00";"40,00";\N;\N
"55091";"23477";"6";"2";"1";"95,00";"35,00";\N;\N
"55092";"23478";"6";"2";"1";"95,00";"29,00";\N;\N
"55093";"23479";"6";"2";"1";"0,00";"0,00";\N;\N
"55094";"23480";"7";"2";"1";"118,00";"34,00";\N;\N
"55095";"23480";"8";"2";"1";"160,00";"33,00";\N;\N
"55096";"23384";"6";\N;"1";"95,00";"29,00";\N;\N
"55097";"23384";"19";\N;"1";"95,00";"35,00";\N;\N
"55098";"23445";"8";\N;"1";"160,00";"39,00";\N;\N
"55101";"23482";"6";"2";"1";"0,00";"0,00";\N;\N
"55102";"23483";"6";"2";"1";"95,00";"32,00";\N;\N
"55103";"23484";"6";"2";"1";"95,00";"35,00";\N;\N
"55104";"23484";"10";"2";"1";"15,00";"15,00";\N;\N
"55106";"23486";"6";"2";"1";"95,00";"35,00";\N;\N
"55107";"23487";"6";"2";"1";"95,00";"33,00";\N;\N
"55108";"23487";"7";"2";"1";"59,00";"17,00";\N;\N
"55115";"23490";"6";"2";"1";"95,00";"29,00";\N;\N
"55116";"23490";"7";"2";"1";"59,00";"17,00";\N;\N
"55117";"23490";"9";"2";"1";"20,00";"20,00";\N;\N
"55126";"23491";"6";"2";"1";"95,00";"35,00";\N;\N
"55130";"23495";"6";"2";"1";"0,00";"0,00";\N;\N
"55131";"23496";"6";"2";"1";"95,00";"34,00";\N;\N
"55132";"23497";"6";"2";"1";"95,00";"29,00";\N;\N
"55133";"23498";"6";"2";"1";"0,00";"0,00";\N;\N
"55137";"23501";"6";"2";"1";"0,00";"0,00";\N;\N
"55139";"23503";"6";"2";"1";"95,00";"35,00";\N;\N
"55141";"23505";"16";"2";"1";"0,00";"0,00";\N;\N
"55142";"23506";"6";"2";"1";"95,00";"35,00";\N;\N
"55143";"23507";"6";"2";"1";"95,00";"35,00";\N;\N
"55144";"23508";"6";"2";"1";"95,00";"33,00";\N;\N
"55145";"23508";"7";"2";"1";"59,00";"15,00";\N;\N
"55146";"23508";"9";"2";"1";"40,00";"40,00";\N;\N
"55160";"23513";"6";"2";"1";"95,00";"30,00";\N;\N
"55161";"23513";"7";"2";"1";"59,00";"15,00";\N;\N
"55162";"23430";"8";"2";"1";"0,00";"0,00";\N;\N
"55163";"23431";"8";"2";"1";"0,00";"0,00";\N;\N
"55164";"23122";"15";"2";"1";"0,00";"0,00";\N;\N
"55165";"23514";"6";"2";"1";"0,00";"0,00";\N;\N
"55166";"23514";"7";"2";"1";"0,00";"0,00";\N;\N
"55167";"23515";"6";"2";"1";"95,00";"29,00";\N;\N
"55168";"23499";"6";\N;"1";"95,00";"33,00";\N;\N
"55169";"23499";"7";\N;"1";"59,00";"17,00";\N;\N
"55170";"23516";"6";"2";"1";"95,00";"35,00";\N;\N
"55172";"23518";"6";"2";"1";"95,00";"32,00";\N;\N
"55174";"23485";"6";\N;"1";"95,00";"35,00";\N;\N
"55175";"23520";"6";"2";"1";"95,00";"33,00";\N;\N
"55177";"23522";"6";"2";"1";"95,00";"35,00";\N;\N
"55178";"23332";"6";\N;"1";"95,00";"29,00";\N;\N
"55179";"23332";"7";\N;"1";"59,00";"15,00";\N;\N
"55181";"23523";"7";"2";"1";"59,00";"35,00";\N;\N
"55182";"23523";"9";"2";"1";"40,00";"40,00";\N;\N
"55184";"23524";"7";"2";"1";"99,00";"35,00";\N;\N
"55187";"23525";"6";"2";"1";"95,00";"29,00";\N;\N
"55188";"23525";"7";"2";"1";"59,00";"17,00";\N;\N
"55189";"23526";"6";"2";"1";"95,00";"29,00";\N;\N
"55190";"23526";"7";"2";"1";"59,00";"17,00";\N;\N
"55191";"23527";"6";"2";"1";"0,00";"0,00";\N;\N
"55192";"23393";"6";\N;"1";"95,00";"35,00";\N;\N
"55193";"23528";"6";"2";"1";"160,00";"32,00";\N;\N
"55196";"23529";"6";"2";"1";"95,00";"33,00";\N;\N
"55197";"23529";"7";"2";"1";"59,00";"17,00";\N;\N
"55199";"23416";"6";\N;"2";"190,00";"58,00";\N;\N
"55200";"23531";"6";"2";"1";"0,00";"0,00";\N;\N
"55201";"23417";"6";\N;"1";"95,00";"29,00";\N;\N
"55202";"23418";"6";\N;"1";"95,00";"32,00";\N;\N
"55203";"23532";"6";"2";"1";"95,00";"35,00";\N;\N
"55204";"23532";"9";"2";"1";"40,00";"40,00";\N;\N
"55208";"23534";"9";"2";"1";"40,00";"40,00";\N;\N
"55209";"23534";"7";\N;"1";"99,00";"35,00";\N;\N
"55210";"23446";"6";\N;"1";"95,00";"40,00";\N;\N
"55211";"23430";"21";\N;"1";"47,50";"15,00";\N;\N
"55212";"23449";"6";\N;"1";"95,00";"29,00";\N;\N
"55213";"23535";"12";"2";"1";"190,00";"35,00";\N;"2024-07-24 19:00:51"
"55215";"23537";"6";"2";"1";"95,00";"35,00";\N;\N
"55216";"23538";"6";"2";"1";"95,00";"35,00";\N;\N
"55217";"23539";"6";"2";"1";"95,00";"35,00";\N;\N
"55218";"23540";"6";"2";"1";"95,00";"35,00";\N;\N
"55219";"23541";"6";"2";"1";"95,00";"35,00";\N;\N
"55220";"23530";"6";\N;"1";"95,00";"35,00";\N;\N
"55221";"23542";"6";"2";"1";"95,00";"35,00";\N;\N
"55223";"23544";"6";"2";"1";"95,00";"34,00";\N;\N
"55224";"23504";"15";\N;"1";"450,00";"80,00";\N;\N
"55225";"23545";"6";"2";"1";"95,00";"35,00";\N;\N
"55226";"23546";"6";"2";"1";"0,00";"0,00";\N;\N
"55232";"23550";"15";"2";"1";"0,00";"0,00";\N;\N
"55238";"23556";"6";"2";"1";"95,00";"29,00";\N;\N
"55241";"23559";"15";"2";"1";"0,00";"0,00";\N;\N
"55242";"23560";"6";"2";"1";"95,00";"34,00";\N;\N
"55243";"23560";"7";"2";"1";"59,00";"17,00";\N;\N
"55244";"23560";"19";"2";"1";"95,00";"35,00";\N;\N
"55247";"23563";"6";"2";"1";"0,00";"0,00";\N;\N
