"id";"id_cliente";"id_tipo_servico";"valor";"valor_fornecedor"
"1164";"750";"16";"250,00";\N
"1165";"750";"17";"200,00";\N
"1166";"750";"19";"95,00";\N
"1167";"750";"20";"30,00";\N
"1168";"750";"21";"42,50";\N
"1169";"750";"22";"95,00";\N
"1170";"751";"6";"95,00";\N
"1171";"751";"7";"99,00";\N
"1172";"751";"8";"99999,99";\N
"1173";"751";"9";"40,00";\N
"1174";"751";"10";"25,00";\N
"1175";"751";"11";"9999,99";\N
"1176";"751";"12";"150,00";\N
"1177";"751";"13";"250,00";\N
"1178";"751";"14";"250,00";\N
"1179";"751";"15";"450,00";\N
"1180";"751";"16";"250,00";\N
"1181";"751";"17";"200,00";\N
"1182";"751";"19";"95,00";\N
"1183";"751";"20";"30,00";\N
"1184";"751";"21";"42,50";\N
"1185";"751";"22";"95,00";\N
"1186";"754";"6";"95,00";\N
"1187";"754";"7";"99,00";\N
"1188";"754";"8";"99999,99";\N
"1189";"754";"9";"40,00";\N
"1190";"754";"10";"25,00";\N
"1191";"754";"11";"9999,99";\N
"1192";"754";"12";"150,00";\N
"1193";"754";"13";"250,00";\N
"1194";"754";"14";"250,00";\N
"1195";"754";"15";"450,00";\N
"1196";"754";"16";"250,00";\N
"1197";"754";"17";"200,00";\N
"1198";"754";"19";"95,00";\N
"1199";"754";"20";"30,00";\N
"1200";"754";"21";"42,50";\N
"1201";"754";"22";"95,00";\N
"1202";"760";"6";"95,00";\N
"1203";"760";"7";"99,00";\N
"1204";"760";"8";"99999,99";\N
"1205";"760";"9";"40,00";\N
"1206";"760";"10";"25,00";\N
"1207";"760";"11";"9999,99";\N
"1208";"760";"12";"150,00";\N
"1209";"760";"13";"250,00";\N
"1210";"760";"14";"250,00";\N
"1211";"760";"15";"450,00";\N
"1212";"760";"16";"250,00";\N
"1213";"760";"17";"200,00";\N
"1214";"760";"19";"95,00";\N
"1215";"760";"20";"30,00";\N
"1216";"760";"21";"42,50";\N
"1217";"760";"22";"95,00";\N
"1218";"802";"6";"95,00";\N
"1219";"802";"7";"99,00";\N
"1220";"802";"8";"99999,99";\N
"1221";"802";"9";"40,00";\N
"1222";"802";"10";"25,00";\N
"1223";"802";"11";"9999,99";\N
"1224";"802";"12";"150,00";\N
"1225";"802";"13";"250,00";\N
"1226";"802";"14";"250,00";\N
"1227";"802";"15";"450,00";\N
"1228";"802";"16";"250,00";\N
"1229";"802";"17";"200,00";\N
"1230";"802";"19";"95,00";\N
"1231";"802";"20";"30,00";\N
"1232";"802";"21";"42,50";\N
"1233";"802";"22";"95,00";\N
"1234";"804";"6";"95,00";\N
"1235";"804";"7";"99,00";\N
"1236";"804";"8";"99999,99";\N
"1237";"804";"9";"40,00";\N
"1238";"804";"10";"25,00";\N
"1239";"804";"11";"9999,99";\N
"1240";"804";"12";"150,00";\N
"1241";"804";"13";"250,00";\N
"1242";"804";"14";"250,00";\N
"1243";"804";"15";"450,00";\N
